Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c00051sm,6,"Thursday, July 21, 2011 06:48:05 UTC",0.3021,97.1214,5.1,31.60,40,"Nias region, Indonesia"
ak,10273615,1,"Thursday, July 21, 2011 06:27:55 UTC",59.4020,-145.5911,2.0,7.50,12,"Gulf of Alaska"
ci,15021684,0,"Thursday, July 21, 2011 06:21:56 UTC",33.4077,-116.4620,1.0,13.80,53,"Southern California"
ak,10273603,2,"Thursday, July 21, 2011 06:20:11 UTC",60.0423,-152.8535,4.1,94.10,97,"Southern Alaska"
ak,10273611,1,"Thursday, July 21, 2011 06:16:04 UTC",60.2475,-150.9458,1.4,58.20, 8,"Kenai Peninsula, Alaska"
nc,71604795,0,"Thursday, July 21, 2011 05:46:09 UTC",36.6045,-121.0745,1.5,7.10,12,"Central California"
us,c00051s4,7,"Thursday, July 21, 2011 05:45:53 UTC",51.1338,179.5947,4.1,35.10,27,"Rat Islands, Aleutian Islands, Alaska"
pr,11202000,0,"Thursday, July 21, 2011 05:12:47 UTC",19.1459,-68.0930,3.4,33.00, 8,"Dominican Republic region"
ci,15021644,0,"Thursday, July 21, 2011 04:58:35 UTC",34.1323,-117.0627,2.5,9.00,145,"Greater Los Angeles area, California"
nc,71604775,1,"Thursday, July 21, 2011 04:54:54 UTC",36.4077,-120.9888,1.9,5.30,24,"Central California"
ci,15021636,0,"Thursday, July 21, 2011 04:43:34 UTC",33.0282,-116.4160,1.3,11.10,49,"Southern California"
nn,00343525,8,"Thursday, July 21, 2011 04:42:01 UTC",38.2194,-116.3482,2.4,0.00,21,"Nevada"
ak,10273580,1,"Thursday, July 21, 2011 04:39:32 UTC",61.5812,-149.7438,2.1,16.90,33,"Southern Alaska"
ak,10273575,1,"Thursday, July 21, 2011 04:22:31 UTC",60.5433,-149.3478,2.2,22.50,20,"Kenai Peninsula, Alaska"
ak,10273568,1,"Thursday, July 21, 2011 03:54:51 UTC",60.1665,-152.6760,2.7,115.60,53,"Southern Alaska"
ci,15021612,0,"Thursday, July 21, 2011 03:48:55 UTC",33.5883,-116.1882,1.2,8.20,16,"Southern California"
nc,71604745,0,"Thursday, July 21, 2011 03:42:19 UTC",38.8392,-122.7965,1.1,2.00,15,"Northern California"
nc,71604740,0,"Thursday, July 21, 2011 03:40:46 UTC",38.5373,-122.6177,1.6,8.10, 7,"Northern California"
ci,15021596,0,"Thursday, July 21, 2011 03:35:18 UTC",32.9953,-116.3548,1.7,7.00,17,"Southern California"
nc,71604735,0,"Thursday, July 21, 2011 03:32:38 UTC",38.8350,-122.7990,1.2,2.30,17,"Northern California"
ci,15021588,0,"Thursday, July 21, 2011 03:29:12 UTC",33.0198,-116.2977,1.2,14.00,25,"Southern California"
ci,15021580,0,"Thursday, July 21, 2011 03:24:37 UTC",33.0168,-115.5518,1.8,11.50,32,"Southern California"
ci,15021572,0,"Thursday, July 21, 2011 03:16:15 UTC",33.0235,-115.5670,1.7,14.60,36,"Southern California"
us,c00051r3,5,"Thursday, July 21, 2011 03:09:24 UTC",26.3702,59.5940,4.6,15.00,37,"southeastern Iran"
ci,15021556,0,"Thursday, July 21, 2011 02:51:24 UTC",33.9398,-118.2735,1.6,16.70,18,"Greater Los Angeles area, California"
nc,71604730,0,"Thursday, July 21, 2011 02:45:43 UTC",36.0362,-120.5960,1.1,3.70,11,"Central California"
ak,10273550,1,"Thursday, July 21, 2011 02:19:46 UTC",59.3721,-153.1221,2.2,116.10, 8,"Southern Alaska"
ak,10273543,2,"Thursday, July 21, 2011 02:06:02 UTC",61.7063,-149.8804,1.1,43.70,14,"Southern Alaska"
us,c00051qt,6,"Thursday, July 21, 2011 01:55:37 UTC",-29.2962,-176.2660,4.9,33.50,77,"Kermadec Islands region"
ak,10273539,1,"Thursday, July 21, 2011 01:55:27 UTC",63.0173,-148.1734,1.1,60.00, 7,"Central Alaska"
ak,10273534,1,"Thursday, July 21, 2011 01:51:25 UTC",60.6906,-150.2319,1.7,47.60,18,"Kenai Peninsula, Alaska"
ak,10273531,1,"Thursday, July 21, 2011 01:43:25 UTC",61.7111,-150.1781,1.4,37.70,13,"Southern Alaska"
ak,10273523,1,"Thursday, July 21, 2011 01:22:02 UTC",62.0865,-150.0750,1.7,3.30,17,"Central Alaska"
us,c00051qq,5,"Thursday, July 21, 2011 01:13:51 UTC",-29.4598,-176.2627,4.9,20.00,68,"Kermadec Islands region"
nc,71604695,0,"Thursday, July 21, 2011 01:11:20 UTC",38.8195,-122.8235,1.0,2.90,23,"Northern California"
us,c00051pv,7,"Thursday, July 21, 2011 01:03:28 UTC",39.6129,143.4827,4.8,11.40,134,"off the east coast of Honshu, Japan"
ci,15021516,0,"Thursday, July 21, 2011 00:53:20 UTC",34.0065,-116.7877,1.3,12.70,39,"Southern California"
hv,60248906,1,"Thursday, July 21, 2011 00:16:46 UTC",19.1790,-155.3880,1.8,10.00, 9,"Island of Hawaii, Hawaii"
ak,10273504,1,"Thursday, July 21, 2011 00:02:00 UTC",63.1146,-151.2340,2.2,1.20,22,"Central Alaska"
ci,15021468,0,"Wednesday, July 20, 2011 23:32:41 UTC",33.3373,-116.3772,1.3,11.50,33,"Southern California"
ak,10273492,1,"Wednesday, July 20, 2011 23:12:08 UTC",61.7008,-150.8782,2.1,63.20,27,"Southern Alaska"
nc,71604635,1,"Wednesday, July 20, 2011 23:01:01 UTC",38.8107,-122.8122,1.2,2.90,27,"Northern California"
ci,15021452,0,"Wednesday, July 20, 2011 22:44:39 UTC",33.0102,-115.5407,2.1,10.50,41,"Southern California"
ci,15021444,0,"Wednesday, July 20, 2011 22:36:39 UTC",33.4760,-116.5588,1.2,14.60,32,"Southern California"
us,c00051ms,E,"Wednesday, July 20, 2011 22:04:59 UTC",-10.3107,162.1520,6.0,22.50,430,"Solomon Islands"
uw,07202147,1,"Wednesday, July 20, 2011 21:47:44 UTC",48.2391,-121.6596,2.0,8.50,15,"Washington"
pr,11201008,0,"Wednesday, July 20, 2011 21:24:35 UTC",18.9960,-67.5039,2.7,38.40, 6,"Puerto Rico region"
hv,60248861,1,"Wednesday, July 20, 2011 21:18:21 UTC",19.3832,-155.2342,1.8,3.60,30,"Island of Hawaii, Hawaii"
ak,10273420,1,"Wednesday, July 20, 2011 21:12:11 UTC",60.1741,-141.0177,1.3,15.20,11,"Southern Alaska"
nc,71604580,1,"Wednesday, July 20, 2011 21:10:17 UTC",38.8173,-122.8292,1.9,2.50,34,"Northern California"
ak,10273414,1,"Wednesday, July 20, 2011 21:07:11 UTC",60.4881,-151.1760,1.4,16.20,12,"Kenai Peninsula, Alaska"
nc,71604575,4,"Wednesday, July 20, 2011 21:06:55 UTC",37.5055,-122.4042,1.8,0.00,26,"San Francisco Bay area, California"
ak,10273410,2,"Wednesday, July 20, 2011 20:54:29 UTC",59.8675,-153.4443,2.0,127.10,19,"Southern Alaska"
uw,07202021,1,"Wednesday, July 20, 2011 20:21:35 UTC",48.5989,-123.0240,1.4,13.00,10,"San Juan Islands region, Washington"
pr,11201007,0,"Wednesday, July 20, 2011 20:10:38 UTC",19.2329,-67.3899,3.2,46.70, 5,"Puerto Rico region"
